Area_Name,Auto_Theft_Stolen,CPA_Cases_Registered,Victims_Total,Cases_Property_Stolen,Rape_Cases_Reported
Delhi,3613.0,,787.0,32,2.0
Goa,32.0,,6.0,16,0.0
Gujarat,508.0,,11.0,27,2.0
Haryana,1237.0,,384.0,16,0.0
Himachal Pradesh,86.0,,18.0,272,0.0
Jammu & Kashmir,130.0,,900.0,6,0.0
Jharkhand,365.0,,775.0,274,0.0
Karnataka,546.0,,97.0,226,0.0
Kerala,606.0,,326.0,10,0.0
Madhya Pradesh,469.0,,1380.0,131,0.0
Maharashtra,2219.0,,1081.0,23,0.0
Manipur,12.0,,252.0,599,0.0
Meghalaya,15.0,,1764.0,0,1.0
Mizoram,15.0,,1779.0,519,0.0
Nagaland,56.0,,275.0,7,1.0
Odisha,99.0,,107.0,278,2.0
Puducherry,11.0,,25.0,41,0.0
Punjab,577.0,,104.0,653,2.0
Rajasthan,1130.0,,863.0,1309,1.0
Sikkim,6.0,,25.0,38,0.0
Tamil Nadu,100.0,,601.0,140,1.0
Tripura,2.0,,1040.0,17,0.0
Uttar Pradesh,1458.0,,6.0,5,0.0
Uttarakhand,119.0,,1107.0,451,0.0
West Bengal,328.0,,100.0,25,2851.0
Andhra Pradesh,300.0,,4283.0,987,301.0
Arunachal Pradesh,17.0,,191.0,676,2550.0
Assam,508.0,,1006.0,104,2891.0
Bihar,134.0,,6.0,58,72.0
Chandigarh,426.0,,1932.0,207,2819.0
Chhattisgarh,405.0,,71.0,320,2738.0
Dadra & Nagar Haveli,1.0,,1323.0,298,123.0
Daman & Diu,8.0,,2502.0,0,2615.0
Delhi,4388.0,,11.0,392,2875.0
Goa,20.0,,806.0,1621,63.0
Gujarat,593.0,,5.0,19,2812.0
Haryana,1534.0,,2.0,16,2921.0
Himachal Pradesh,119.0,,473.0,19,141.0
Jammu & Kashmir,163.0,,33.0,11,2780.0
Jharkhand,277.0,,805.0,319,2900.0
Karnataka,813.0,,785.0,6,29.0
Kerala,452.0,,94.0,313,2871.0
Madhya Pradesh,454.0,,236.0,320,3010.0
Maharashtra,2459.0,,1431.0,7,49.0
Manipur,59.0,,1176.0,256,2961.0
Meghalaya,53.0,,251.0,42,2937.0
Mizoram,15.0,,1835.0,1566,52.0
Nagaland,89.0,,1927.0,0,2885.0
Odisha,125.0,,249.0,669,2998.0
Puducherry,13.0,,111.0,12,14.0
Punjab,641.0,,33.0,329,2984.0
Rajasthan,1223.0,,141.0,43,3135.0
Sikkim,6.0,,705.0,680,21.0
Tamil Nadu,200.0,,27.0,1352,3114.0
Tripura,3.0,,596.0,37,1302.0
Uttar Pradesh,1546.0,,1033.0,146,20.0
Uttarakhand,124.0,,6.0,10,1282.0
West Bengal,272.0,,1200.0,4,1352.0
Andaman & Nicobar Islands,1.0,,103.0,355,21.0
Andhra Pradesh,436.0,,3859.0,40,1331.0
Arunachal Pradesh,26.0,,213.0,917,1268.0
Assam,443.0,,1561.0,763,18.0
Bihar,262.0,,10.0,109,1250.0
Chandigarh,466.0,,1675.0,25,1388.0
Chhattisgarh,236.0,,58.0,155,31.0
Dadra & Nagar Haveli,10.0,,1226.0,360,1357.0
Daman & Diu,4.0,,2507.0,319,1545.0
Delhi,4757.0,,19.0,0,38.0
Goa,19.0,,757.0,450,1507.0
Gujarat,763.0,,4.0,1761,1500.0
Haryana,1587.0,,4.0,24,36.0
Himachal Pradesh,166.0,,445.0,28,1464.0
Jammu & Kashmir,433.0,,26.0,28,1451.0
Jharkhand,295.0,,734.0,16,40.0
Karnataka,959.0,,786.0,278,1411.0
Kerala,307.0,,94.0,13,1558.0
Lakshadweep,4.0,,216.0,236,35.0
Madhya Pradesh,675.0,,1435.0,255,1523.0
Maharashtra,2523.0,,1073.0,6,1483.0
Manipur,51.0,,260.0,183,76.0
Meghalaya,59.0,,1777.0,42,1407.0
Mizoram,8.0,,1712.0,2008,1599.0
Nagaland,103.0,,156.0,0,44.0
Odisha,358.0,,106.0,853,1555.0
Puducherry,9.0,,28.0,7,20.0
Punjab,870.0,,40.0,466,2.0
Rajasthan,1654.0,,806.0,38,18.0
Sikkim,7.0,,29.0,802,14.0
Tamil Nadu,194.0,,658.0,1186,3.0
Tripura,4.0,,1089.0,38,11.0
Uttar Pradesh,2718.0,,14.0,166,18.0
Uttarakhand,106.0,,1270.0,17,0.0
West Bengal,401.0,,91.0,6,18.0
Andhra Pradesh,602.0,,3724.0,333,31.0
Arunachal Pradesh,5.0,,144.0,46,0.0
Assam,103.0,,1468.0,987,31.0
Bihar,360.0,,5.0,761,25.0
Chandigarh,355.0,,1914.0,88,1.0
Chhattisgarh,152.0,,73.0,36,24.0
Dadra & Nagar Haveli,6.0,,1137.0,442,40.0
Daman & Diu,2.0,,2700.0,389,0.0
Delhi,5281.0,,20.0,254,40.0
Goa,20.0,,708.0,0,20.0
Gujarat,843.0,,5.0,437,1.0
Haryana,1918.0,,5.0,1735,19.0
Himachal Pradesh,161.0,,458.0,19,38.0
Jammu & Kashmir,334.0,,28.0,26,0.0
Jharkhand,368.0,,814.0,30,38.0
Karnataka,1087.0,,831.0,6,31.0
Kerala,180.0,,105.0,175,0.0
Madhya Pradesh,780.0,,205.0,7,31.0
Maharashtra,2612.0,,1496.0,222,34.0
Manipur,47.0,,1147.0,295,0.0
Meghalaya,43.0,,279.0,4,34.0
Mizoram,18.0,,1890.0,205,26.0
Nagaland,81.0,,1790.0,52,5.0
Odisha,181.0,,82.0,1176,21.0
Puducherry,12.0,,126.0,0,38.0
Punjab,943.0,,40.0,896,1.0
Rajasthan,1491.0,,42.0,10,37.0
Sikkim,2.0,,783.0,417,40.0
Tamil Nadu,265.0,,30.0,59,5.0
Tripura,2.0,,703.0,992,35.0
Uttar Pradesh,3046.0,,1115.0,1071,54.0
Uttarakhand,96.0,,9.0,23,4.0
West Bengal,401.0,,1279.0,196,50.0
Andhra Pradesh,5.0,,96.0,12,63.0
Arunachal Pradesh,0.0,,3597.0,4,4.0
Assam,0.0,,132.0,273,59.0
Bihar,0.0,,1522.0,45,74.0
Chandigarh,0.0,,13.0,997,0.0
Chhattisgarh,0.0,,2783.0,743,74.0
Delhi,37.0,,83.0,71,82.0
Gujarat,3.0,,1356.0,36,9.0
Haryana,12.0,,3643.0,399,73.0
Himachal Pradesh,1.0,,15.0,380,88.0
Jammu & Kashmir,4.0,,1657.0,264,5.0
Jharkhand,2.0,,3.0,0,83.0
Karnataka,5.0,,574.0,371,112.0
Kerala,42.0,,37.0,1812,5.0
Madhya Pradesh,4.0,,1280.0,24,107.0
Maharashtra,11.0,,818.0,32,149.0
Meghalaya,1.0,,122.0,25,8.0
Mizoram,0.0,,1412.0,13,141.0
Nagaland,0.0,,1507.0,239,52.0
Odisha,0.0,,1678.0,12,0.0
Punjab,23.0,,489.0,227,52.0
Rajasthan,41.0,,2.0,241,76.0
Tamil Nadu,8.0,,2425.0,1,0.0
Uttar Pradesh,17.0,,2950.0,156,76.0
Uttarakhand,1.0,,233.0,44,54.0
West Bengal,1.0,,169.0,864,2.0
Andhra Pradesh,5.0,,31.0,0,52.0
Assam,0.0,,109.0,997,20.0
Bihar,0.0,,1005.0,0,0.0
Chhattisgarh,0.0,,25.0,203,20.0
Daman & Diu,0.0,,787.0,22,37.0
Delhi,27.0,,1275.0,532,0.0
Goa,1.0,,19.0,1290,37.0
Gujarat,36.0,,1662.0,5,72.0
Haryana,16.0,,240.0,87,0.0
Himachal Pradesh,0.0,,8180.0,0,72.0
Jammu & Kashmir,5.0,,381.0,0,83.0
Karnataka,1.0,,1673.0,48,2.0
Kerala,19.0,,17.0,7,81.0
Madhya Pradesh,15.0,,2651.0,313,77.0
Maharashtra,13.0,,61.0,76,3.0
Meghalaya,0.0,,1253.0,4,74.0
Nagaland,0.0,,3831.0,24,83.0
Odisha,0.0,,31.0,503,3.0
Punjab,5.0,,844.0,178,80.0
Rajasthan,29.0,,11.0,140,92.0
Tamil Nadu,2.0,,8.0,0,3.0
Uttar Pradesh,25.0,,541.0,166,89.0
West Bengal,8.0,,31.0,523,17.0
Andhra Pradesh,6.0,,2327.0,20,1.0
Arunachal Pradesh,0.0,,811.0,96,16.0
Assam,0.0,,132.0,2,17.0
Bihar,0.0,,1307.0,9,0.0
Chandigarh,0.0,,1488.0,195,17.0
Chhattisgarh,0.0,,1704.0,1,14.0
Daman & Diu,0.0,,454.0,45,0.0
Delhi,18.0,,2395.0,55,14.0
Gujarat,36.0,,2991.0,0,18.0
Haryana,32.0,,222.0,158,0.0
Himachal Pradesh,0.0,,184.0,26,18.0
Jammu & Kashmir,0.0,,29.0,622,17.0
Jharkhand,0.0,,108.0,32,0.0
Karnataka,4.0,,1148.0,274,17.0
Kerala,4.0,,31.0,1,23.0
Maharashtra,15.0,,772.0,193,0.0
Meghalaya,0.0,,1324.0,22,23.0
Nagaland,0.0,,13.0,473,13.0
Odisha,0.0,,1787.0,1289,1.0
Punjab,17.0,,201.0,1,12.0
Rajasthan,38.0,,7538.0,144,19.0
Tamil Nadu,2.0,,335.0,1,1.0
Uttar Pradesh,34.0,,1453.0,2,18.0
West Bengal,1.0,,21.0,47,22.0
Andhra Pradesh,15.0,,2914.0,5,0.0
Arunachal Pradesh,0.0,,77.0,777,22.0
Assam,21.0,,1191.0,61,16.0
Bihar,0.0,,3772.0,0,1.0
Chandigarh,2.0,,21.0,42,15.0
Chhattisgarh,0.0,,797.0,580,790.0
Delhi,10.0,,11.0,178,4.0
Gujarat,46.0,,6.0,125,786.0
Haryana,2.0,,502.0,0,691.0
Himachal Pradesh,1.0,,34.0,136,1.0
Karnataka,12.0,,1164.0,542,690.0
Kerala,4.0,,748.0,3,725.0
Madhya Pradesh,7.0,,130.0,64,0.0
Maharashtra,21.0,,1115.0,5,725.0
Manipur,0.0,,1482.0,15,770.0
Meghalaya,0.0,,1576.0,230,1.0
Mizoram,0.0,,435.0,2,769.0
Nagaland,0.0,,2227.0,50,799.0
Odisha,35.0,,2951.0,45,7.0
Puducherry,1.0,,185.0,0,792.0
Punjab,1.0,,175.0,174,985.0
Rajasthan,12.0,,46.0,29,0.0
Sikkim,0.0,,91.0,327,985.0
Tamil Nadu,2.0,,1102.0,25,939.0
Uttar Pradesh,24.0,,30.0,204,0.0
Uttarakhand,1.0,,769.0,2,939.0
West Bengal,0.0,,1284.0,173,1113.0
Andhra Pradesh,0.0,,16.0,37,17.0
Arunachal Pradesh,0.0,,1654.0,471,1096.0
Assam,1.0,,254.0,1221,1023.0
Bihar,0.0,,5284.0,3,6.0
Chandigarh,0.0,,293.0,140,1017.0
Chhattisgarh,0.0,,1464.0,4,1025.0
Delhi,7.0,,15.0,4,37.0
Gujarat,55.0,,2640.0,28,988.0
Haryana,13.0,,67.0,4,9.0
Himachal Pradesh,1.0,,1214.0,330,0.0
Jammu & Kashmir,0.0,,3948.0,63,9.0
Jharkhand,2.0,,22.0,8,6.0
Karnataka,4.0,,927.0,23,0.0
Kerala,24.0,,11.0,682,6.0
Madhya Pradesh,0.0,,3.0,220,2.0
Maharashtra,13.0,,510.0,118,0.0
Manipur,0.0,,42.0,0,2.0
Meghalaya,0.0,,1169.0,153,4.0
Mizoram,0.0,,742.0,504,0.0
Nagaland,0.0,,110.0,3,4.0
Odisha,0.0,,989.0,83,6.0
Punjab,4.0,,1488.0,5,0.0
Rajasthan,25.0,,1567.0,19,6.0
Tamil Nadu,1.0,,427.0,176,9.0
Uttar Pradesh,72.0,,2380.0,2,0.0
West Bengal,0.0,,2777.0,30,9.0
Andhra Pradesh,24.0,,193.0,34,9.0
Arunachal Pradesh,0.0,,157.0,2,0.0
Assam,4.0,,35.0,95,9.0
Bihar,2.0,,73.0,36,8.0
Chandigarh,0.0,,1137.0,227,0.0
Chhattisgarh,28.0,,25.0,18,8.0
Delhi,5.0,,802.0,217,1.0
Gujarat,8.0,,1292.0,0,0.0
Haryana,14.0,,18.0,152,1.0
Himachal Pradesh,3.0,,1544.0,30,3.0
Jammu & Kashmir,0.0,,226.0,360,0.0
Jharkhand,1.0,,6665.0,1319,3.0
Karnataka,15.0,,267.0,0,298.0
Kerala,15.0,,1433.0,106,0.0
Madhya Pradesh,0.0,,15.0,3,298.0
Maharashtra,46.0,,2928.0,0,299.0
Manipur,0.0,,81.0,30,4.0
Meghalaya,0.0,,1194.0,5,295.0
Mizoram,1.0,,3471.0,348,380.0
Nagaland,0.0,,18.0,52,9.0
Odisha,0.0,,1050.0,1,371.0
Punjab,2.0,,7.0,28,390.0
Rajasthan,24.0,,5.0,580,65.0
Uttar Pradesh,68.0,,533.0,177,325.0
West Bengal,1.0,,49.0,114,398.0
Andhra Pradesh,2.0,,1103.0,0,50.0
Arunachal Pradesh,0.0,,812.0,147,348.0
Assam,8.0,,118.0,623,442.0
Bihar,0.0,,746.0,2,1.0
Chandigarh,0.0,,1523.0,71,441.0
Chhattisgarh,0.0,,1673.0,10,519.0
Delhi,10.0,,431.0,9,7.0
Gujarat,22.0,,1.0,238,512.0
Haryana,7.0,,2428.0,0,517.0
Himachal Pradesh,17.0,,2745.0,17,2.0
Jammu & Kashmir,5.0,,295.0,54,515.0
Karnataka,25.0,,138.0,0,511.0
Kerala,10.0,,35.0,72,8.0
Madhya Pradesh,24.0,,91.0,27,503.0
Maharashtra,28.0,,1133.0,254,546.0
Manipur,0.0,,19.0,31,17.0
Meghalaya,0.0,,744.0,212,529.0
Mizoram,0.0,,1246.0,0,1049.0
Nagaland,0.0,,9.0,245,18.0
Odisha,0.0,,1511.0,23,1031.0
Punjab,5.0,,158.0,334,1051.0
Rajasthan,13.0,,6365.0,1212,31.0
Tamil Nadu,3.0,,290.0,0,1020.0
Uttar Pradesh,51.0,,1454.0,204,1050.0
West Bengal,2.0,,5.0,3,32.0
Andaman & Nicobar Islands,1.0,,2940.0,4,1018.0
Andhra Pradesh,3.0,,60.0,27,1038.0
Arunachal Pradesh,0.0,,1207.0,2,39.0
Assam,4.0,,3249.0,277,999.0
Bihar,2.0,,14.0,87,993.0
Chandigarh,1.0,,1098.0,6,33.0
Chhattisgarh,0.0,,9.0,13,960.0
Delhi,8.0,,7.0,592,1085.0
Goa,1.0,,488.0,208,42.0
Gujarat,21.0,,40.0,97,1043.0
Haryana,8.0,,1214.0,0,1238.0
Himachal Pradesh,0.0,,899.0,147,42.0
Jammu & Kashmir,0.0,,129.0,625,1196.0
Jharkhand,1.0,,641.0,4,1355.0
Karnataka,4.0,,1492.0,63,40.0
Kerala,5.0,,1677.0,3,1315.0
Maharashtra,22.0,,426.0,12,1519.0
Manipur,0.0,,2330.0,184,36.0
Meghalaya,0.0,,2961.0,1,1483.0
Mizoram,0.0,,238.0,27,1571.0
Nagaland,0.0,,157.0,39,24.0
Odisha,0.0,,25.0,2,1547.0
Punjab,2.0,,123.0,73,8.0
Rajasthan,97.0,,1167.0,22,1.0
Tamil Nadu,0.0,,30.0,216,7.0
Uttar Pradesh,17.0,,851.0,44,6.0
West Bengal,0.0,,1238.0,211,1.0
Andhra Pradesh,1.0,,21.0,0,5.0
Arunachal Pradesh,0.0,,1418.0,174,10.0
Assam,3.0,,165.0,28,0.0
Bihar,1.0,,5762.0,319,10.0
Chandigarh,1.0,,285.0,1001,3.0
Chhattisgarh,0.0,,1442.0,1,0.0
Delhi,13.0,,15.0,160,3.0
Goa,1.0,,2850.0,5,18.0
Gujarat,11.0,,68.0,8,1.0
Haryana,6.0,,1374.0,14,17.0
Himachal Pradesh,0.0,,3081.0,7,20.0
Jammu & Kashmir,0.0,,20.0,280,0.0
Jharkhand,1.0,,1097.0,104,20.0
Karnataka,5.0,,10.0,7,24.0
Kerala,3.0,,12.0,10,4.0
Madhya Pradesh,0.0,,511.0,534,20.0
Maharashtra,10.0,,34.0,202,20.0
Manipur,0.0,,1214.0,119,1.0
Meghalaya,0.0,,942.0,0,19.0
Odisha,0.0,,132.0,151,18.0
Punjab,1.0,,366.0,659,0.0
Rajasthan,5.0,,1617.0,2,18.0
Tamil Nadu,4.0,,1586.0,57,18.0
Tripura,1.0,,393.0,4,2.0
Uttar Pradesh,20.0,,2315.0,15,16.0
West Bengal,1.0,,2793.0,239,423.0
Andhra Pradesh,65.0,,295.0,2,21.0
Arunachal Pradesh,0.0,,114.0,35,402.0
Assam,2.0,,43.0,35,534.0
Chandigarh,0.0,,118.0,0,0.0
Chhattisgarh,0.0,,1235.0,95,534.0
Delhi,6.0,,35.0,18,557.0
Gujarat,1.0,,826.0,107,40.0
Haryana,9.0,,1359.0,30,517.0
Himachal Pradesh,0.0,,9.0,177,618.0
Jammu & Kashmir,5.0,,1711.0,5,36.0
Jharkhand,0.0,,150.0,138,582.0
Karnataka,1.0,,5182.0,16,571.0
Kerala,0.0,,268.0,299,11.0
Maharashtra,11.0,,1653.0,686,560.0
Manipur,0.0,,8.0,2,457.0
Meghalaya,0.0,,2762.0,115,1.0
Mizoram,0.0,,72.0,1,456.0
Nagaland,0.0,,1426.0,3,523.0
Odisha,0.0,,3139.0,34,2.0
Punjab,8.0,,17.0,7,521.0
Rajasthan,26.0,,1169.0,232,573.0
Tamil Nadu,1.0,,9.0,139,1.0
Uttar Pradesh,10.0,,2.0,4,572.0
Uttarakhand,1.0,,589.0,11,596.0
West Bengal,1.0,,53.0,523,4.0
Andhra Pradesh,1.0,,1145.0,178,592.0
Arunachal Pradesh,0.0,,970.0,108,686.0
Assam,0.0,,130.0,0,0.0
Bihar,7.0,,266.0,143,686.0
Chandigarh,7.0,,1697.0,709,102.0
Chhattisgarh,8.0,,1800.0,3,0.0
Delhi,122.0,,379.0,55,102.0
Goa,3.0,,1.0,0,108.0
Gujarat,53.0,,2351.0,7,0.0
Haryana,71.0,,2976.0,247,108.0
Himachal Pradesh,10.0,,268.0,1,114.0
Jammu & Kashmir,0.0,,126.0,37,0.0
Jharkhand,8.0,,35.0,71,114.0
Karnataka,65.0,,147.0,0,160.0
Kerala,58.0,,1250.0,88,1.0
Madhya Pradesh,19.0,,35.0,14,159.0
Maharashtra,263.0,,815.0,125,162.0
Meghalaya,8.0,,1320.0,33,0.0
Mizoram,1.0,,9.0,146,162.0
Nagaland,0.0,,1824.0,0,189.0
Odisha,6.0,,166.0,108,4.0
Punjab,83.0,,4699.0,14,185.0
Rajasthan,71.0,,261.0,312,157.0
Tamil Nadu,22.0,,1811.0,686,0.0
Uttar Pradesh,29.0,,18.0,1,157.0
Uttarakhand,5.0,,2475.0,124,204.0
West Bengal,2.0,,59.0,1,0.0
Andhra Pradesh,7.0,,1323.0,2,204.0
Assam,0.0,,3179.0,24,190.0
Bihar,9.0,,22.0,2,0.0
Chandigarh,3.0,,1083.0,245,190.0
Chhattisgarh,3.0,,10.0,120,238.0
Daman & Diu,0.0,,5.0,6,0.0
Delhi,227.0,,571.0,2,238.0
Goa,4.0,,57.0,416,1958.0
Gujarat,45.0,,1059.0,268,3.0
Haryana,106.0,,1007.0,85,1955.0
Himachal Pradesh,20.0,,133.0,0,1415.0
Jammu & Kashmir,26.0,,262.0,160,12.0
Karnataka,40.0,,1636.0,795,1403.0
Kerala,18.0,,1752.0,1,911.0
Madhya Pradesh,0.0,,369.0,48,10.0
Maharashtra,184.0,,2402.0,2,901.0
Meghalaya,2.0,,2712.0,6,1397.0
Nagaland,3.0,,174.0,303,35.0
Odisha,0.0,,128.0,10,1362.0
Punjab,80.0,,31.0,40,1217.0
Rajasthan,55.0,,49.0,59,70.0
Tamil Nadu,20.0,,1266.0,1,1147.0
Uttar Pradesh,44.0,,39.0,100,1314.0
West Bengal,37.0,,861.0,13,0.0
Andhra Pradesh,17.0,,1417.0,103,1314.0
Arunachal Pradesh,0.0,,20.0,10,1648.0
Assam,0.0,,1857.0,184,1.0
Bihar,7.0,,148.0,0,1647.0
Chandigarh,6.0,,4679.0,101,1871.0
Chhattisgarh,2.0,,195.0,20,1.0
Daman & Diu,0.0,,2161.0,251,1870.0
Delhi,113.0,,10.0,654,1759.0
Goa,2.0,,2538.0,4,2.0
Gujarat,49.0,,75.0,134,1757.0
Haryana,139.0,,1223.0,9,1563.0
Himachal Pradesh,43.0,,3362.0,0,4.0
Jammu & Kashmir,0.0,,22.0,36,1559.0
Jharkhand,0.0,,1065.0,4,74.0
Karnataka,47.0,,6.0,243,0.0
Kerala,20.0,,5.0,153,74.0
Madhya Pradesh,12.0,,577.0,4,89.0
Maharashtra,220.0,,35.0,1,16.0
Meghalaya,1.0,,1082.0,412,73.0
Nagaland,1.0,,1044.0,273,107.0
Odisha,4.0,,133.0,102,2.0
Puducherry,2.0,,235.0,3,105.0
Punjab,92.0,,1752.0,117,115.0
Rajasthan,46.0,,1878.0,772,13.0
Tamil Nadu,36.0,,405.0,1,102.0
Uttar Pradesh,34.0,,2441.0,60,133.0
Uttarakhand,2.0,,2837.0,2,3.0
West Bengal,17.0,,101.0,8,130.0
Andhra Pradesh,16.0,,137.0,380,147.0
Arunachal Pradesh,0.0,,48.0,7,6.0
Assam,2.0,,47.0,37,141.0
Bihar,16.0,,1319.0,53,117.0
Chandigarh,7.0,,34.0,0,8.0
Chhattisgarh,0.0,,945.0,97,109.0
Delhi,264.0,,1421.0,7,87.0
Goa,3.0,,17.0,149,6.0
Gujarat,44.0,,1908.0,24,81.0
Haryana,288.0,,159.0,214,111.0
Himachal Pradesh,11.0,,4456.0,1,6.0
Jammu & Kashmir,1.0,,176.0,133,105.0
Karnataka,52.0,,2415.0,15,121.0
Kerala,42.0,,,248,11.0
Madhya Pradesh,69.0,,,644,110.0
Maharashtra,250.0,,,5,709.0
Manipur,1.0,,,122,0.0
Meghalaya,7.0,,,2,709.0
Mizoram,0.0,,,6,759.0
Nagaland,1.0,,,32,0.0
Odisha,0.0,,,2,759.0
Puducherry,2.0,,,180,1002.0
Punjab,59.0,,,147,15.0
Rajasthan,60.0,,,2,987.0
Tamil Nadu,29.0,,,5,1475.0
Tripura,4.0,,,335,24.0
Uttar Pradesh,60.0,,,272,1451.0
Uttarakhand,2.0,,,71,1686.0
West Bengal,7.0,,,0,36.0
Andhra Pradesh,60.0,,,110,1650.0
Arunachal Pradesh,0.0,,,765,1731.0
Assam,134.0,,,0,6.0
Bihar,6.0,,,33,1725.0
Chandigarh,4.0,,,3,2106.0
Chhattisgarh,0.0,,,3,114.0
Dadra & Nagar Haveli,5.0,,,346,1992.0
Delhi,251.0,,,2,2263.0
Goa,6.0,,,65,9.0
Gujarat,35.0,,,36,2254.0
Haryana,192.0,,,1,2336.0
Himachal Pradesh,23.0,,,85,3.0
Jammu & Kashmir,6.0,,,16,2333.0
Jharkhand,8.0,,,170,2311.0
Karnataka,70.0,,,9,4.0
Kerala,73.0,,,288,2307.0
Madhya Pradesh,0.0,,,0,
Maharashtra,266.0,,,360,
Manipur,0.0,,,20,
Meghalaya,2.0,,,395,
Mizoram,0.0,,,1164,
Nagaland,0.0,,,2,
Odisha,7.0,,,366,
Punjab,75.0,,,12,
Rajasthan,109.0,,,7,
Tamil Nadu,24.0,,,1714,
Tripura,2.0,,,34,
Uttar Pradesh,65.0,,,1243,
Uttarakhand,8.0,,,326,
West Bengal,12.0,,,76,
Andhra Pradesh,23.0,,,0,
Arunachal Pradesh,0.0,,,253,
Assam,108.0,,,325,
Bihar,4.0,,,1,
Chandigarh,2.0,,,0,
Chhattisgarh,0.0,,,1331,
Delhi,164.0,,,2491,
Goa,13.0,,,91,
Gujarat,33.0,,,32,
Haryana,259.0,,,186,
Himachal Pradesh,8.0,,,133,
Jammu & Kashmir,14.0,,,187,
Jharkhand,33.0,,,2,
Karnataka,62.0,,,481,
Kerala,133.0,,,2341,
Madhya Pradesh,0.0,,,1,
Maharashtra,267.0,,,839,
Manipur,0.0,,,29,
Meghalaya,0.0,,,991,
Mizoram,1.0,,,0,
Nagaland,1.0,,,2113,
Odisha,4.0,,,0,
Puducherry,9.0,,,491,
Punjab,106.0,,,34,
Rajasthan,91.0,,,572,
Sikkim,2.0,,,1216,
Tamil Nadu,17.0,,,10,
Uttar Pradesh,50.0,,,92,
Uttarakhand,12.0,,,8,
West Bengal,44.0,,,10,
Andhra Pradesh,44.0,,,2703,
Arunachal Pradesh,0.0,,,56,
Assam,136.0,,,1155,
Bihar,5.0,,,341,
Chandigarh,17.0,,,66,
Chhattisgarh,0.0,,,0,
Dadra & Nagar Haveli,2.0,,,182,
Daman & Diu,1.0,,,378,
Delhi,153.0,,,400,
Goa,8.0,,,0,
Gujarat,33.0,,,876,
Haryana,421.0,,,2803,
Himachal Pradesh,41.0,,,93,
Jammu & Kashmir,19.0,,,32,
Jharkhand,0.0,,,16,
Karnataka,67.0,,,56,
Kerala,100.0,,,22,
Madhya Pradesh,122.0,,,1,
Maharashtra,376.0,,,614,
Manipur,1.0,,,1073,
Meghalaya,12.0,,,4,
Mizoram,0.0,,,827,
Nagaland,0.0,,,60,
Odisha,13.0,,,815,
Puducherry,6.0,,,0,
Punjab,157.0,,,5016,
Rajasthan,106.0,,,0,
Sikkim,2.0,,,195,
Tamil Nadu,59.0,,,28,
Tripura,1.0,,,562,
Uttar Pradesh,139.0,,,1341,
Uttarakhand,4.0,,,89,
West Bengal,22.0,,,260,
Andhra Pradesh,21.0,,,12,
Arunachal Pradesh,0.0,,,8,
Assam,23.0,,,2611,
Bihar,2.0,,,77,
Chandigarh,4.0,,,1426,
Chhattisgarh,0.0,,,606,
Dadra & Nagar Haveli,8.0,,,63,
Daman & Diu,1.0,,,0,
Delhi,181.0,,,219,
Goa,17.0,,,715,
Gujarat,48.0,,,235,
Haryana,331.0,,,0,
Himachal Pradesh,30.0,,,855,
Jammu & Kashmir,1.0,,,2978,
Jharkhand,15.0,,,78,
Karnataka,59.0,,,19,
Kerala,58.0,,,228,
Maharashtra,586.0,,,76,
Manipur,0.0,,,59,
Meghalaya,9.0,,,2,
Mizoram,0.0,,,1033,
Nagaland,8.0,,,2300,
Odisha,12.0,,,4,
Puducherry,7.0,,,104,
Punjab,124.0,,,25,
Rajasthan,144.0,,,352,
Sikkim,2.0,,,0,
Tamil Nadu,65.0,,,1470,
Uttar Pradesh,170.0,,,0,
Uttarakhand,7.0,,,192,
West Bengal,12.0,,,26,
Andhra Pradesh,94.0,,,714,
Arunachal Pradesh,0.0,,,1384,
Assam,22.0,,,101,
Bihar,38.0,,,1261,
Chandigarh,1.0,,,22,
Chhattisgarh,0.0,,,6,
Delhi,173.0,,,3097,
Goa,15.0,,,52,
Gujarat,93.0,,,1239,
Haryana,276.0,,,722,
Himachal Pradesh,21.0,,,78,
Jammu & Kashmir,41.0,,,0,
Jharkhand,32.0,,,182,
Karnataka,115.0,,,524,
Kerala,84.0,,,273,
Madhya Pradesh,0.0,,,0,
Maharashtra,730.0,,,862,
Manipur,0.0,,,3344,
Meghalaya,7.0,,,52,
Nagaland,13.0,,,21,
Odisha,21.0,,,0,
Puducherry,3.0,,,11,
Punjab,128.0,,,27,
Rajasthan,184.0,,,2,
Sikkim,2.0,,,596,
Tamil Nadu,55.0,,,1116,
Tripura,3.0,,,22,
Uttar Pradesh,168.0,,,76,
Uttarakhand,29.0,,,61,
West Bengal,38.0,,,741,
Andhra Pradesh,15.0,,,0,
Arunachal Pradesh,0.0,,,1495,
Assam,11.0,,,0,
Bihar,27.0,,,192,
Chandigarh,7.0,,,19,
Chhattisgarh,0.0,,,693,
Dadra & Nagar Haveli,5.0,,,1319,
Daman & Diu,1.0,,,147,
Delhi,201.0,,,223,
Goa,14.0,,,10,
Gujarat,121.0,,,3,
Haryana,349.0,,,3514,
Himachal Pradesh,0.0,,,38,
Jammu & Kashmir,45.0,,,1214,
Jharkhand,0.0,,,556,
Karnataka,47.0,,,70,
Kerala,62.0,,,0,
Maharashtra,595.0,,,146,
Manipur,0.0,,,347,
Meghalaya,2.0,,,894,
Mizoram,0.0,,,0,
Nagaland,5.0,,,646,
